City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,mananjary,-21.2167,48.3333,21.81,73,29,1.51,MG,1691820568
318,umm kaddadah,13.6017,26.6876,29.76,45,81,2.81,SD,1691820568
319,korla,41.7597,86.1469,34.99,19,93,4.32,CN,1691820568
320,guerrero negro,27.9769,-114.0611,20.43,88,3,6.11,MX,1691820569
321,mwatate,-3.5029,38.3795,20.29,62,36,3.67,KE,1691820569
322,severo-yeniseyskiy,60.3725,93.0408,14.97,89,100,1.85,RU,1691820569
323,lebu,-37.6167,-73.65,6.73,83,60,3.88,CL,1691820569
324,vila velha,-20.3297,-40.2925,21.97,83,20,3.6,BR,1691820569
325,usogorsk,63.4106,48.6872,23.46,43,3,2.48,RU,1691820569
326,new plymouth,-39.0667,174.0833,11.0,87,95,3.3,NZ,1691820570
327,kabala,9.5833,-11.55,20.93,98,100,1.65,SL,1691820570
328,patacamaya,-17.2333,-67.9167,5.42,78,91,2.76,BO,1691820570
329,itoman,26.1247,127.6694,32.21,79,20,3.6,JP,1691820570
330,nagqu,31.5,92.0,15.63,56,100,3.13,CN,1691820571
331,leava,-14.3,-178.1667,26.7,81,95,7.91,WF,1691820571
332,murun-kuren,49.6342,100.1625,26.15,41,78,1.74,MN,1691820571
333,torghay,49.6339,63.4981,24.0,29,7,7.17,KZ,1691820571
334,ilulissat,69.2167,-51.1,10.01,81,75,2.57,GL,1691820571
335,casper,42.8666,-106.3131,18.73,52,0,2.57,US,1691820572
336,mar del plata,-38.0023,-57.5575,6.16,81,26,4.02,AR,1691820572
337,tazovsky,67.4667,78.7,10.16,38,0,10.3,RU,1691820572
338,polyarnyy,69.1989,33.4478,15.71,77,100,3.95,RU,1691820572
339,tchibanga,-2.85,11.0333,21.75,84,93,0.87,GA,1691820572
340,tashtagol,52.7657,87.8894,13.55,97,98,3.84,RU,1691820572
341,edinburg,55.9521,-3.1965,16.71,83,40,3.09,GB,1691820300
342,senillosa,-39.0,-68.4167,5.31,51,90,3.91,AR,1691820573
343,dunedin,-45.8742,170.5036,8.22,74,100,0.89,NZ,1691820573
344,lentini,37.2855,14.9996,27.19,58,0,1.42,IT,1691820573
345,ban karon,7.8477,98.2985,30.99,67,64,6.95,TH,1691820573
346,acapulco de juarez,16.8634,-99.8901,27.9,83,40,1.03,MX,1691820447
347,gaspra,44.4333,34.1,24.52,55,0,0.51,UA,1691820574
348,antsiranana,-12.2787,49.2917,25.79,61,2,7.38,MG,1691820574
349,egilsstadir,65.2653,-14.3948,8.67,94,99,3.96,IS,1691820574
350,mogok,22.9167,96.5,19.99,94,100,1.82,MM,1691820574
351,tenenkou,14.4572,-4.9169,26.33,75,81,3.43,ML,1691820574
352,nanning,22.8167,108.3167,32.3,64,70,3.58,CN,1691820574
353,faya-largeau,17.9257,19.1043,30.61,54,99,6.1,TD,1691820574
354,vylkove,45.4021,29.586,22.66,51,0,5.36,UA,1691820575
355,alofi,-19.0595,-169.9187,24.05,86,69,7.11,NU,1691820575
356,bubaque,11.2833,-15.8333,24.74,97,100,6.3,GW,1691820575
357,gisborne,-38.6533,178.0042,8.92,74,90,2.35,NZ,1691820485
358,dunda,-8.1167,34.25,20.03,46,0,2.35,TZ,1691820575
359,harnai,30.1005,67.9374,33.53,31,1,2.71,PK,1691820575
360,pimenta bueno,-11.6725,-61.1936,24.41,61,88,0.78,BR,1691820575
361,balykshi,47.0667,51.8667,29.0,30,1,8.0,KZ,1691820576
362,kill devil hills,36.0307,-75.676,26.66,90,0,0.0,US,1691820576
363,khash,28.2211,61.2158,33.13,11,0,2.22,IR,1691820576
